#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
 104000      6.75e+00    6.07e+00      2.19e-02    8.90e-03      2.00e-01    2.49e-01    5.6e-04
 105000      6.49e+00    6.49e+00      1.75e-02    9.27e-03      2.50e-01    2.67e-01    5.6e-04
 106000      6.49e+00    5.90e+00      5.12e-03    1.42e-02      2.71e-01    2.12e-01    5.6e-04
 107000      8.15e+00    9.16e+00      2.29e-02    8.57e-03      3.11e-01    3.81e-01    5.6e-04
 108000      2.99e+00    6.02e+00      7.09e-03    3.43e-03      1.08e-01    2.52e-01    5.6e-04
 109000      5.87e+00    4.07e+00      1.08e-02    1.31e-02      2.37e-01    1.22e-01    5.6e-04
 110000      3.46e+00    6.30e+00      9.04e-03    1.59e-03      1.19e-01    2.64e-01    5.6e-04
 111000      4.21e+00    3.81e+00      1.36e-02    9.71e-03      1.26e-01    1.33e-01    5.6e-04
 112000      6.34e+00    6.51e+00      9.14e-03    1.35e-03      2.60e-01    2.73e-01    5.6e-04
 113000      5.84e+00    7.09e+00      2.31e-04    2.30e-02      2.45e-01    2.61e-01    5.6e-04
 114000      7.69e+00    7.83e+00      2.07e-02    1.74e-02      2.96e-01    3.11e-01    5.6e-04
 115000      5.83e+00    6.43e+00      5.96e-03    6.56e-03      2.42e-01    2.67e-01    5.6e-04
 116000      6.36e+00    7.15e+00      1.12e-03    1.44e-02      2.67e-01    2.87e-01    5.6e-04
 117000      3.13e+00    2.70e+00      6.66e-03    1.03e-03      1.16e-01    1.13e-01    5.6e-04
 118000      5.65e+00    6.18e+00      2.08e-03    6.31e-03      2.37e-01    2.57e-01    5.6e-04
 119000      5.72e+00    5.97e+00      1.81e-02    3.38e-03      1.74e-01    2.50e-01    5.6e-04
 120000      2.75e+00    6.78e+00      9.31e-04    1.29e-02      1.22e-01    2.88e-01    5.0e-04
 121000      6.56e+00    3.63e+00      5.68e-03    5.98e-03      2.89e-01    1.49e-01    5.0e-04
 122000      6.65e+00    6.74e+00      1.68e-02    5.89e-03      2.71e-01    2.97e-01    5.0e-04
 123000      3.11e+00    6.33e+00      3.57e-03    1.42e-03      1.33e-01    2.81e-01    5.0e-04
 124000      6.66e+00    6.14e+00      1.51e-02    1.72e-02      2.76e-01    2.45e-01    5.0e-04
 125000      6.69e+00    2.19e+00      1.79e-02    1.49e-03      2.33e-01    9.62e-02    5.0e-04
 126000      4.00e+00    5.80e+00      1.30e-02    3.98e-03      1.16e-01    2.56e-01    5.0e-04
 127000      4.46e+00    5.49e+00      1.55e-02    3.95e-04      1.17e-01    2.44e-01    5.0e-04
 128000      5.84e+00    3.17e+00      1.51e-02    6.58e-03      2.08e-01    1.23e-01    5.0e-04
 129000      6.19e+00    6.16e+00      1.37e-02    9.47e-04      2.58e-01    2.74e-01    5.0e-04
 130000      7.91e+00    5.96e+00      3.07e-02    1.17e-02      2.78e-01    2.52e-01    5.0e-04
 131000      4.46e+00    5.90e+00      2.89e-03    5.57e-04      1.96e-01    2.62e-01    5.0e-04
 132000      6.63e+00    7.22e+00      2.28e-02    2.58e-02      2.48e-01    2.65e-01    5.0e-04
 133000      6.59e+00    6.27e+00      2.30e-03    1.27e-02      2.92e-01    2.64e-01    5.0e-04
 134000      3.42e+00    5.90e+00      9.95e-03    7.62e-03      1.12e-01    2.57e-01    5.0e-04
 135000      6.46e+00    6.30e+00      5.96e-03    3.40e-03      2.84e-01    2.79e-01    5.0e-04
 136000      4.26e+00    6.56e+00      6.82e-03    6.19e-03      1.76e-01    2.88e-01    5.0e-04
 137000      7.00e+00    5.82e+00      1.42e-02    8.88e-03      2.95e-01    2.51e-01    5.0e-04
 138000      3.66e+00    6.42e+00      5.45e-03    3.24e-03      1.52e-01    2.85e-01    5.0e-04
 139000      2.31e+00    9.18e+00      2.73e-03    3.91e-02      9.89e-02    3.01e-01    5.0e-04
 140000      2.26e+00    5.57e+00      6.90e-04    4.19e-03      1.06e-01    2.60e-01    4.5e-04
 141000      5.57e+00    5.50e+00      1.07e-02    9.86e-03      2.48e-01    2.47e-01    4.5e-04
 142000      2.41e+00    5.83e+00      2.06e-04    8.76e-03      1.13e-01    2.65e-01    4.5e-04
 143000      4.07e+00    6.71e+00      2.47e-03    2.21e-02      1.89e-01    2.64e-01    4.5e-04
 144000      5.66e+00    3.68e+00      2.91e-03    2.57e-03      2.65e-01    1.70e-01    4.5e-04
 145000      3.21e+00    4.43e+00      6.11e-03    5.13e-03      1.34e-01    2.00e-01    4.5e-04
 146000      5.87e+00    6.81e+00      2.54e-03    1.94e-02      2.75e-01    2.82e-01    4.5e-04
 147000      9.03e+00    6.28e+00      4.02e-02    1.74e-02      2.85e-01    2.62e-01    4.5e-04
 148000      5.65e+00    3.61e+00      4.94e-03    1.04e-02      2.63e-01    1.21e-01    4.5e-04
 149000      5.93e+00    5.40e+00      1.67e-02    6.73e-03      2.02e-01    2.48e-01    4.5e-04
 150000      6.26e+00    5.65e+00      2.33e-02    1.96e-02      1.20e-01    1.41e-01    4.5e-04
 151000      5.16e+00    6.42e+00      7.78e-04    1.01e-02      2.43e-01    2.91e-01    4.5e-04
 152000      7.29e+00    8.79e+00      2.29e-02    3.97e-02      2.93e-01    2.73e-01    4.5e-04
 153000      5.39e+00    5.20e+00      6.89e-03    3.58e-03      2.48e-01    2.41e-01    4.5e-04
 154000      6.52e+00    5.09e+00      2.03e-02    2.57e-04      1.99e-01    2.39e-01    4.5e-04
 155000      3.91e+00    2.79e+00      1.10e-02    6.19e-03      1.34e-01    1.10e-01    4.5e-04
 156000      2.74e+00    5.74e+00      5.01e-04    2.06e-03      1.29e-01    2.70e-01    4.5e-04
 157000      6.24e+00    3.48e+00      8.69e-03    5.69e-03      2.85e-01    1.50e-01    4.5e-04
 158000      5.84e+00    5.94e+00      6.75e-03    3.73e-03      2.69e-01    2.78e-01    4.5e-04
 159000      3.33e+00    5.30e+00      7.91e-03    5.59e-03      1.27e-01    2.41e-01    4.5e-04
 160000      6.82e+00    2.52e+00      1.92e-02    5.75e-03      2.36e-01    1.02e-01    4.0e-04
 161000      5.44e+00    4.58e+00      3.57e-03    9.22e-04      2.69e-01    2.28e-01    4.0e-04
 162000      6.85e+00    5.98e+00      2.62e-02    9.64e-03      2.55e-01    2.86e-01    4.0e-04
 163000      4.45e+00    3.81e+00      1.90e-03    3.99e-03      2.20e-01    1.83e-01    4.0e-04
 164000      5.17e+00    5.27e+00      4.00e-03    9.65e-03      2.55e-01    2.49e-01    4.0e-04
 165000      7.24e+00    6.07e+00      2.38e-02    9.93e-03      1.97e-01    2.89e-01    4.0e-04
 166000      7.11e+00    7.07e+00      2.31e-02    2.52e-02      2.92e-01    2.76e-01    4.0e-04
 167000      3.66e+00    6.01e+00      6.13e-03    1.87e-02      1.65e-01    2.52e-01    4.0e-04
 168000      5.77e+00    5.38e+00      5.29e-03    4.12e-03      2.83e-01    2.65e-01    4.0e-04
 169000      5.89e+00    6.43e+00      4.01e-03    1.56e-02      2.91e-01    2.90e-01    4.0e-04
 170000      3.38e+00    4.65e+00      8.89e-05    6.77e-03      1.68e-01    2.15e-01    4.0e-04
 171000      5.24e+00    5.94e+00      1.83e-02    2.72e-03      1.18e-01    2.95e-01    4.0e-04
 172000      5.25e+00    3.19e+00      1.63e-02    4.36e-04      1.60e-01    1.59e-01    4.0e-04
 173000      3.35e+00    4.09e+00      9.87e-03    1.25e-02      1.10e-01    1.28e-01    4.0e-04
 174000      5.83e+00    5.37e+00      1.36e-02    1.79e-03      2.34e-01    2.67e-01    4.0e-04
 175000      2.35e+00    6.63e+00      3.28e-03    2.04e-02      1.09e-01    2.79e-01    4.0e-04
 176000      2.90e+00    5.59e+00      4.13e-03    5.67e-03      1.35e-01    2.74e-01    4.0e-04
 177000      6.14e+00    5.10e+00      1.56e-02    8.49e-03      2.74e-01    2.43e-01    4.0e-04
 178000      2.85e+00    6.02e+00      1.39e-03    9.36e-03      1.41e-01    2.88e-01    4.0e-04
 179000      5.41e+00    4.10e+00      6.01e-03    1.32e-02      2.64e-01    1.17e-01    4.0e-04
 180000      6.21e+00    5.01e+00      2.32e-02    1.46e-02      2.42e-01    1.69e-01    3.5e-04
 181000      5.31e+00    6.38e+00      3.62e-04    2.15e-02      2.79e-01    2.67e-01    3.5e-04
 182000      2.33e+00    4.13e+00      2.84e-03    1.64e-03      1.16e-01    2.16e-01    3.5e-04
 183000      4.79e+00    4.68e+00      6.83e-03    3.56e-03      2.44e-01    2.41e-01    3.5e-04
 184000      3.73e+00    5.47e+00      5.92e-03    8.62e-03      1.78e-01    2.76e-01    3.5e-04
 185000      6.61e+00    4.04e+00      1.99e-02    5.53e-03      2.92e-01    1.98e-01    3.5e-04
 186000      2.36e+00    5.21e+00      2.13e-03    7.31e-03      1.20e-01    2.65e-01    3.5e-04
 187000      3.11e+00    3.13e+00      9.74e-04    7.14e-03      1.63e-01    1.32e-01    3.5e-04
 188000      4.83e+00    5.09e+00      8.06e-03    6.59e-03      2.42e-01    2.60e-01    3.5e-04
 189000      4.76e+00    5.10e+00      6.53e-03    4.11e-04      2.33e-01    2.68e-01    3.5e-04
 190000      2.86e+00    4.91e+00      7.86e-03    6.19e-03      1.03e-01    2.43e-01    3.5e-04
 191000      5.78e+00    5.24e+00      2.62e-03    2.56e-04      3.03e-01    2.76e-01    3.5e-04
 192000      6.00e+00    4.92e+00      1.87e-02    7.18e-03      1.79e-01    2.50e-01    3.5e-04
 193000      4.65e+00    5.34e+00      6.12e-03    7.80e-03      2.37e-01    2.71e-01    3.5e-04
 194000      5.38e+00    4.99e+00      7.01e-03    1.07e-02      2.75e-01    2.16e-01    3.5e-04
 195000      4.18e+00    2.76e+00      7.43e-03    2.21e-04      1.94e-01    1.45e-01    3.5e-04
 196000      4.45e+00    5.70e+00      1.24e-02    1.12e-02      1.58e-01    2.80e-01    3.5e-04
 197000      6.66e+00    3.58e+00      2.14e-02    3.44e-03      2.86e-01    1.82e-01    3.5e-04
 198000      5.93e+00    4.49e+00      1.36e-02    5.26e-04      2.84e-01    2.36e-01    3.5e-04
 199000      5.88e+00    5.41e+00      8.66e-03    8.24e-03      2.98e-01    2.74e-01    3.5e-04
 200000      4.66e+00    5.09e+00      6.36e-03    1.66e-02      2.41e-01    2.26e-01    3.2e-04
 201000      5.01e+00    6.86e+00      4.00e-03    2.50e-02      2.76e-01    2.82e-01    3.2e-04
 202000      6.25e+00    5.06e+00      2.09e-02    1.09e-02      2.73e-01    2.28e-01    3.2e-04
 203000      4.08e+00    4.92e+00      2.94e-03    1.39e-03      2.23e-01    2.74e-01    3.2e-04
 204000      4.83e+00    4.48e+00      7.30e-03    1.00e-03      2.45e-01    2.49e-01    3.2e-04
 205000      3.20e+00    6.29e+00      4.95e-03    1.89e-02      1.62e-01    2.91e-01    3.2e-04
 206000      7.10e+00    4.39e+00      2.89e-02    2.23e-03      2.60e-01    2.43e-01    3.2e-04
 207000      6.31e+00    5.28e+00      2.27e-02    9.40e-03      2.62e-01    2.77e-01    3.2e-04
 208000      5.61e+00    5.22e+00      2.08e-02    1.06e-02      2.27e-01    2.69e-01    3.2e-04
 209000      5.27e+00    5.92e+00      2.38e-03    1.32e-02      2.92e-01    3.00e-01    3.2e-04
 210000      6.87e+00    3.61e+00      2.36e-02    9.31e-04      2.95e-01    2.00e-01    3.2e-04
 211000      6.21e+00    2.31e+00      1.76e-02    1.10e-04      2.21e-01    1.28e-01    3.2e-04
 212000      3.99e+00    5.36e+00      1.21e-02    1.04e-02      1.25e-01    2.78e-01    3.2e-04
 213000      5.06e+00    4.80e+00      8.24e-03    7.79e-03      2.68e-01    2.55e-01    3.2e-04
 214000      1.83e+00    5.04e+00      1.11e-03    5.10e-03      1.00e-01    2.75e-01    3.2e-04
 215000      4.64e+00    4.54e+00      1.05e-02    5.06e-03      2.03e-01    2.47e-01    3.2e-04
 216000      5.35e+00    5.15e+00      8.07e-03    8.09e-03      2.86e-01    2.74e-01    3.2e-04
 217000      5.22e+00    5.73e+00      6.06e-03    1.01e-02      2.84e-01    3.02e-01    3.2e-04
 218000      3.19e+00    4.42e+00      8.20e-03    2.13e-03      1.27e-01    2.45e-01    3.2e-04
 219000      4.17e+00    5.17e+00      4.76e-03    8.15e-03      2.21e-01    2.75e-01    3.2e-04
 220000      2.86e+00    4.59e+00      7.10e-04    1.49e-02      1.68e-01    1.17e-01    2.8e-04
 221000      5.16e+00    5.10e+00      1.34e-02    1.07e-02      2.64e-01    2.75e-01    2.8e-04
 222000      5.22e+00    4.95e+00      1.23e-02    4.83e-03      2.75e-01    2.86e-01    2.8e-04
 223000      5.38e+00    5.33e+00      9.37e-03    1.02e-02      2.99e-01    2.92e-01    2.8e-04
