#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
 124000      5.67e+00    6.58e+00      1.50e-02    1.47e-02      2.29e-01    2.73e-01    5.0e-04
 125000      6.39e+00    5.75e+00      1.37e-02    8.29e-03      2.67e-01    2.49e-01    5.0e-04
 126000      6.14e+00    6.08e+00      7.73e-03    1.08e-02      2.67e-01    2.59e-01    5.0e-04
 127000      6.16e+00    7.71e+00      3.19e-03    2.83e-02      2.73e-01    2.79e-01    5.0e-04
 128000      8.29e+00    6.65e+00      3.56e-02    2.03e-02      2.71e-01    2.59e-01    5.0e-04
 129000      6.00e+00    6.06e+00      1.42e-03    1.74e-02      2.67e-01    2.40e-01    5.0e-04
 130000      6.69e+00    7.42e+00      1.27e-02    2.66e-02      2.83e-01    2.72e-01    5.0e-04
 131000      5.30e+00    5.30e+00      9.14e-04    1.24e-02      2.35e-01    2.19e-01    5.0e-04
 132000      5.51e+00    6.18e+00      6.81e-03    1.48e-02      2.40e-01    2.54e-01    5.0e-04
 133000      7.31e+00    6.00e+00      2.75e-02    5.82e-03      2.62e-01    2.63e-01    5.0e-04
 134000      7.10e+00    5.54e+00      2.31e-02    1.57e-03      2.70e-01    2.46e-01    5.0e-04
 135000      6.06e+00    6.40e+00      8.59e-03    8.61e-03      2.63e-01    2.78e-01    5.0e-04
 136000      6.70e+00    6.23e+00      6.97e-03    7.86e-03      2.94e-01    2.71e-01    5.0e-04
 137000      5.49e+00    5.61e+00      6.23e-03    2.52e-03      2.40e-01    2.49e-01    5.0e-04
 138000      6.37e+00    6.62e+00      9.23e-03    8.42e-03      2.76e-01    2.88e-01    5.0e-04
 139000      6.46e+00    6.19e+00      1.83e-02    1.18e-02      2.57e-01    2.62e-01    5.0e-04
 140000      5.50e+00    5.19e+00      1.10e-02    3.12e-03      2.44e-01    2.43e-01    4.5e-04
 141000      6.01e+00    7.26e+00      6.80e-03    2.53e-02      2.78e-01    2.78e-01    4.5e-04
 142000      5.24e+00    6.50e+00      5.73e-04    1.24e-02      2.46e-01    2.90e-01    4.5e-04
 143000      7.10e+00    5.48e+00      2.41e-02    3.40e-03      2.75e-01    2.56e-01    4.5e-04
 144000      5.67e+00    6.23e+00      1.07e-03    1.07e-02      2.67e-01    2.81e-01    4.5e-04
 145000      5.80e+00    5.36e+00      1.01e-02    7.45e-03      2.61e-01    2.45e-01    4.5e-04
 146000      5.33e+00    4.93e+00      8.65e-03    1.54e-03      2.41e-01    2.31e-01    4.5e-04
 147000      8.29e+00    9.70e+00      3.42e-02    4.31e-02      2.83e-01    3.07e-01    4.5e-04
 148000      5.50e+00    7.00e+00      2.04e-04    2.31e-02      2.59e-01    2.75e-01    4.5e-04
 149000      6.28e+00    6.23e+00      6.02e-03    2.18e-05      2.91e-01    2.93e-01    4.5e-04
 150000      5.22e+00    5.17e+00      7.16e-06    1.07e-03      2.45e-01    2.43e-01    4.5e-04
 151000      5.84e+00    5.80e+00      1.49e-02    1.01e-02      2.49e-01    2.61e-01    4.5e-04
 152000      6.10e+00    5.83e+00      1.01e-02    3.18e-04      2.76e-01    2.74e-01    4.5e-04
 153000      6.14e+00    6.18e+00      9.84e-03    1.68e-02      2.78e-01    2.59e-01    4.5e-04
 154000      5.65e+00    5.70e+00      1.41e-03    1.04e-02      2.65e-01    2.55e-01    4.5e-04
 155000      6.07e+00    5.85e+00      1.10e-02    1.33e-02      2.72e-01    2.55e-01    4.5e-04
 156000      5.82e+00    6.34e+00      2.49e-04    4.23e-03      2.74e-01    2.96e-01    4.5e-04
 157000      4.98e+00    5.77e+00      3.24e-03    3.71e-03      2.33e-01    2.70e-01    4.5e-04
 158000      5.17e+00    5.09e+00      2.56e-03    9.13e-03      2.42e-01    2.28e-01    4.5e-04
 159000      5.83e+00    7.55e+00      1.77e-02    2.22e-02      2.36e-01    3.10e-01    4.5e-04
 160000      6.09e+00    5.40e+00      1.77e-02    1.33e-02      2.62e-01    2.43e-01    4.0e-04
 161000      6.68e+00    4.75e+00      1.97e-02    5.27e-03      2.86e-01    2.32e-01    4.0e-04
 162000      5.61e+00    5.40e+00      1.04e-02    4.41e-03      2.64e-01    2.66e-01    4.0e-04
 163000      6.27e+00    6.32e+00      2.22e-02    1.88e-02      2.46e-01    2.69e-01    4.0e-04
 164000      4.61e+00    5.97e+00      7.98e-03    1.21e-02      2.19e-01    2.78e-01    4.0e-04
 165000      5.45e+00    5.85e+00      8.83e-03    6.14e-03      2.60e-01    2.86e-01    4.0e-04
 166000      5.40e+00    5.00e+00      1.54e-03    9.43e-03      2.68e-01    2.35e-01    4.0e-04
 167000      5.67e+00    4.89e+00      9.65e-03    1.30e-03      2.70e-01    2.43e-01    4.0e-04
 168000      5.12e+00    6.43e+00      2.00e-03    6.27e-03      2.54e-01    3.15e-01    4.0e-04
 169000      7.68e+00    6.14e+00      2.98e-02    6.91e-03      2.83e-01    2.99e-01    4.0e-04
 170000      5.20e+00    5.95e+00      5.28e-03    1.87e-02      2.55e-01    2.48e-01    4.0e-04
 171000      6.37e+00    5.87e+00      1.71e-02    1.72e-02      2.80e-01    2.51e-01    4.0e-04
 172000      5.50e+00    6.08e+00      1.29e-02    8.54e-03      2.49e-01    2.93e-01    4.0e-04
 173000      5.44e+00    5.82e+00      9.53e-03    1.73e-04      2.58e-01    2.90e-01    4.0e-04
 174000      5.03e+00    5.37e+00      6.82e-03    2.95e-03      2.43e-01    2.66e-01    4.0e-04
 175000      5.68e+00    5.85e+00      1.10e-02    9.87e-03      2.66e-01    2.78e-01    4.0e-04
 176000      4.96e+00    5.19e+00      1.47e-03    6.82e-03      2.46e-01    2.51e-01    4.0e-04
 177000      7.18e+00    6.07e+00      2.40e-02    1.27e-02      2.91e-01    2.81e-01    4.0e-04
 178000      6.23e+00    5.26e+00      1.71e-02    1.16e-02      2.72e-01    2.42e-01    4.0e-04
 179000      5.49e+00    6.65e+00      2.71e-03    1.92e-02      2.72e-01    2.86e-01    4.0e-04
 180000      5.58e+00    5.48e+00      1.45e-02    4.49e-03      2.60e-01    2.85e-01    3.5e-04
 181000      6.14e+00    4.47e+00      1.95e-02    2.17e-03      2.65e-01    2.34e-01    3.5e-04
 182000      5.10e+00    5.76e+00      7.75e-03    3.40e-03      2.58e-01    3.01e-01    3.5e-04
 183000      5.28e+00    6.00e+00      6.75e-03    1.87e-02      2.70e-01    2.61e-01    3.5e-04
 184000      5.40e+00    5.66e+00      7.01e-03    7.19e-03      2.76e-01    2.90e-01    3.5e-04
 185000      5.81e+00    5.10e+00      1.64e-02    1.16e-02      2.63e-01    2.45e-01    3.5e-04
 186000      4.92e+00    7.13e+00      2.02e-03    2.39e-02      2.58e-01    3.00e-01    3.5e-04
 187000      5.21e+00    5.23e+00      1.14e-02    8.33e-03      2.52e-01    2.64e-01    3.5e-04
 188000      5.08e+00    5.30e+00      4.79e-03    7.11e-04      2.63e-01    2.79e-01    3.5e-04
 189000      6.55e+00    4.86e+00      1.92e-02    3.00e-03      2.93e-01    2.54e-01    3.5e-04
 190000      5.68e+00    7.68e+00      1.08e-02    3.02e-02      2.81e-01    2.86e-01    3.5e-04
 191000      5.80e+00    5.34e+00      1.64e-02    9.62e-03      2.63e-01    2.66e-01    3.5e-04
 192000      5.30e+00    5.81e+00      7.81e-03    1.53e-02      2.69e-01    2.69e-01    3.5e-04
 193000      6.19e+00    5.00e+00      2.03e-02    1.81e-03      2.63e-01    2.62e-01    3.5e-04
 194000      5.99e+00    4.88e+00      1.00e-02    3.53e-03      3.01e-01    2.55e-01    3.5e-04
 195000      5.37e+00    5.36e+00      1.14e-02    1.33e-02      2.62e-01    2.53e-01    3.5e-04
 196000      5.32e+00    5.57e+00      1.44e-02    5.31e-03      2.45e-01    2.89e-01    3.5e-04
 197000      5.73e+00    4.47e+00      1.36e-02    1.70e-03      2.73e-01    2.34e-01    3.5e-04
 198000      5.32e+00    6.70e+00      1.21e-03    2.29e-02      2.80e-01    2.78e-01    3.5e-04
 199000      5.69e+00    5.57e+00      6.12e-03    1.01e-02      2.94e-01    2.77e-01    3.5e-04
 200000      4.80e+00    5.31e+00      4.84e-03    4.91e-03      2.62e-01    2.91e-01    3.2e-04
 201000      4.67e+00    5.06e+00      3.22e-03    1.18e-02      2.58e-01    2.54e-01    3.2e-04
 202000      5.20e+00    5.02e+00      2.46e-03    8.26e-03      2.88e-01    2.66e-01    3.2e-04
 203000      4.55e+00    4.42e+00      5.05e-04    4.38e-03      2.53e-01    2.42e-01    3.2e-04
 204000      5.54e+00    5.78e+00      1.18e-02    1.37e-02      2.83e-01    2.89e-01    3.2e-04
 205000      4.90e+00    5.56e+00      4.49e-03    7.84e-03      2.69e-01    2.99e-01    3.2e-04
 206000      4.54e+00    5.38e+00      6.89e-03    1.46e-02      2.42e-01    2.59e-01    3.2e-04
 207000      4.92e+00    5.19e+00      8.50e-03    5.36e-03      2.59e-01    2.83e-01    3.2e-04
 208000      5.19e+00    5.19e+00      6.26e-03    7.27e-03      2.82e-01    2.79e-01    3.2e-04
 209000      4.26e+00    5.35e+00      4.41e-03    1.58e-02      2.33e-01    2.49e-01    3.2e-04
 210000      5.49e+00    5.06e+00      1.07e-02    1.20e-02      2.85e-01    2.53e-01    3.2e-04
 211000      5.07e+00    4.53e+00      9.53e-03    6.35e-03      2.64e-01    2.44e-01    3.2e-04
 212000      5.88e+00    4.85e+00      1.14e-02    4.71e-03      3.06e-01    2.65e-01    3.2e-04
 213000      5.27e+00    6.01e+00      1.06e-02    1.02e-02      2.72e-01    3.17e-01    3.2e-04
 214000      6.72e+00    5.35e+00      2.46e-02    1.53e-02      2.75e-01    2.53e-01    3.2e-04
